가능,ENABLE,ENABLE
가용,AVAIL,AVAILABLE
가입,JOIN,JOIN
감사,AUDIT,AUDIT
값,VAL,VALUE
개발,DEV,DEVLEOPMENT
개별,SINGLE,SINGLENESS
개선,BETTER,BETTER
개인,PRIV,PRIVATE
거래,TRT,TRANSACTION
건수,CNT,COUNT
검사,INSP,INSPECT
검증,VERIFY,VERIFICATION
검토,ESTI,ESTIMATE
게시,BULTIN,BULLETIN
게시판,BBS,BULLETIN BOARD SYSTEM
격리,ISOL,ISOLATION
결과,RSLT,RESULT
결재,DECIS,DECISION
결재자,DECISER,DECISIVE POWER
경고,WARING,WARNING
경로,PATH,PATH
계급,RANK,RANK
계약,CONTRACT,CONTRACT
계열,SERI,SERIES
계정,ACUNT,ACCOUNT
계획,PLAN,PLAN
고객,CUST,CUSTOMER
고유번호,EPID,Samsung only
공간,SPACE,SPACE
공용,PUB,PUBLIC
공지,NOTI,NOTICE
공통,CM,COMMON
관계,RELA,RELATION
관리,MNGT,MANAGEMENT
관리자,MNGER,MANAGER
구분,TYP,TYPE
구성,CFG,CONFIGURATION
국문,KOR,KOREAN
국방,DEFENSE,NATIONAL DEFENSE
국적,NATNATY,NATIONALITY
군번,SNO,Service Number
권한,AUTH,AUTHORITY
그룹,GRP,GROUP
근본,PRMRY,PRIMARY
금지,BAN,BAN
기간,PERIOD,PERIOD
기록,WRITE,WRITE
기본,DEF,DEFAULT
기준,STND,STANDARD
기타,ETC,ETC
긱,MOBIL,MOBILE
길이,LEN,LENGTH
나이,AGE,AGE
내용,CONT,CONTENT
년간,YEARS,YEARLY
년월,YYMM,YEAR MONTH
다국어,MLANG,Many Languages
다운로드,DNLD,DOWNLOAD
다음,NEXT,NEXT
단계,STEP,STEP
단위,UNIT,UNIT
닫기,CLOSE,CLOSE
담당자,MASTER,MASTER
대문자,UPPER,UPPERCASE
대분류,LCATE,LARGE CATEGORY
대상,TARGET,TARGET
대시보드,DASHBOARD,DASHBOARD
대역폭,BW,BANDWIDTH
대책,CNTRPLN,COUNTERPLAN
댓글,CMT,COMMENT
덮어쓰기,OVWRT,OVER WRITE
데이터,DATA,DATA
도메인,DOMAIN,DOMAIN
도움말,HPCM,HELP COMMENT
동기화,SYNC,SYNCHRONIZATION
동의,AGRE,AGREEMENT
동작,ACT,ACTION
등급,GRD,GRADE
등록,REG,REGISTRATION
디렉토리,DIR,DIRECTORY
디스크,DISK,DISK
라이선스,LIC,LICENSE
라인,LINE,LINE
량,QTY,QUANTITY
로고,LOGO,LOGO
로그,LOG,LOG
로그인,LOGIN,LOGIN
룰,RULE,RULE
리셋,RESET,RESET
마스터,MAS,MASTER
만기,EXPRTN,EXPIRATION
만료,EXP,EXPIRE
망,NET,NETWORK
매니저,MNGR,MANAGER
매니저,MNG,MANAGER
매체,MEDIA,MEDIA
맵핑,MAP,MAPPING
머리,HEAD,HEAD
메뉴,MENU,MENU
메모리,MEM,MEMROY
메시지,MSG,MESSAGE
메인보드,MB,MAIN BOARD
메일,MAIL,MAIL
명,NM,NAME
명령,CMD,COMMAND
모델,MODEL,MODEL
모듈,MDLE,MODULE
모드,MODE,MODE
목록,LIST,LIST
목적,PURPS,PURPOSE
무기한,UNLIM,UNLIMIT
문서,DOC,DOCUMENT
문자,TXT,TEXT
바닥,BOTM,BOTTOM
바로가기,HLNK,HOT LINK
반대,INVERS,INVERSE
반려,RET,RETURN
반복,REPT,REPEAT
발견,FOUND,FOUND
발생,OCUR,OCCURRENCE
발생자,OCURTOR,OCCURRENCE
발송,SEND,SEND
발행자,ISSUER,ISSUER
방법,METH,METHOD
방향,DIRECTION,DIRECTION
배드,BAD,BAD
배치,BAT,BATCH
배포,DISTRIB,DISTRIBUTION
백업,BAK,BACKUP
버전,VER,VERSION
번호,NO,NO
법,LAW,LAW
법인,CORP,CORPORATE
벤더,VEND,VENDOR
변경,CHG,CHANGE
변경자,CHGER,CHANGER
변조,FORGY,FORGERY
보고,REPORT,REPORT
보관,CUSTODY,CUSTODY
보안,SECU,SECURITY
보완,SPLEMNT,SUPPLEMENTATION
보증,GRNTY,GUARANTY
본인,SELF,SELF
부대,TROOP,TROOP
부대장,CO,Commanding Officer
부록,APNDX,APPENDIX
부모,PARENT,PARENT
부분,PART,PART
부서,DEPT,DEPARTMENT
부서장,HEADDEPT,HEAD OF THE DEPARTMENT
북마크,BOOKMARK,BOOKMARK
분류,CATE,CATEGORY
분석,ANALS,ANALYSIS
불능,DISABL,DISABLE
비교,COMP,COMPARE
비밀번호,PASSWORD,PASSWORD
비트,BIT,BIT
비활성,DEACT,DEACTIVE
사례,CASE,CASE BY CASE
사용,USE,USEING
사용자,USER,USER
사유,REASON,REASON
사이트,SITE,SITE
사전,DIC,DICTIONARY
삭제,DEL,DELETE
산출물,OUTPUTS,OUTPUTS
삽입,INSERT,INSERT
상세,DTL,DETAIL
상위,UP,UP
상태,STAT,STATE
색인,IDX,INDEX
생성,CRE,CREATOR
생성자,CREATOR,CREATOR
서버,SVR,SERVER
서비스,SVC,SERVICE
선,LINE,LINE
선택,SELECT,SELECT
설명,DESC,DESCRIPTION
설정,SET,SETTING
설치,INST,INSTALLATION
성공,SUCES,SUCCESS
세션,SESS,SESSION
셀프,SELF,SELF
소문자,LOW,LOWERCASE
소분류,SCATE,SMALL CATEGORY
소속,BELO,BELONG
소스,SRC,SOURCE
소유,OWN,OWNERSHIP
속성,PROP,PROPERTY
수,CNT,COUNT
수동,PAS,PASSIVE
수신,RCV,RECV
수정,UPD,UPDATE
수정자,UPDATOR,UPDATOR
수집,COLCT,COLLECTION
순번,SEQ,SEQUENCE
순서,ORD,ORDER
순위,RAKG,RANKING
숨김,HIDE,HIDE
숫자,NUM,NUMERIC
쉘,SHELL,SHELL
스마트,SMART,SMART
스캔,SCAN,SCAN
스크립트,SCRIPT,SCRIPT
승인,APRV,APPROVAL
승인자,APPROVOR,APPROVOR
시간,TM,TIME
시스템,SYS,SYSTEM
시작,BEGIN,BEGIN
식별,IDNT,IDENITY
신규,NEW,NEW
신청,APLY,APPLICATION
실제,REAL,REAL
실패,FAIL,FAILURE
실행,EXEC,EXECUTION
심볼,SYMBOL,SYMBOL
아이디,ID,IDENTIFY
아이콘,ICON,ICON
아이템,ITM,ITEM
알림,ALARM,ALARM
알파뱃,ABC,ALPHABET
약어,ABBREVI,ABBREVIATION
어플리케이션,APP,APPLICATION
언어,LANG,LANGUAGE
업로드,UPLD,UPLOAD
업무,BIZ,BUSINESS
에이전트,AGENT,AGENT
엔진,ENGINE,ENGINE
여부,YN,YES RO NOT
역할,ROLE,ROLE
연결,LNK,LINK
연도,YEAR,YEAR
연동,LINK,LINK
영구,REMAIN,REMAIN
영문,ENG,ENGLISH
예약,RESV,RESERVATION
예외,EX,EXCEPTION
예정,PLAN,PLAN
예제,EX,EXERCISE
오픈,OPEN,OPEN
옵션,OPT,OPTION
완료,COMPLET,COMPLETE
외래,FORN,FOREIGN
요약,SUMARY,SUMMARY
요청,REQ,REQUEST
요청자,REQTOR,REQUESTOR
용도,USED,USED
용량,VOL,VOLUME
용어,VOCA,VOCABULARY
우선,PRITY,PRIORTY
운영,OPT,OPERATION
운영망,OPNET,OPERATIONAL NETWORK
운영자,OPER,OPERATOR
운영체제,OS,Operation System
원격,REMOTE,REMOTE
원본,ORIG,ORIGINAL
월별,MONTH,MONTHLY
웹,WEB,WEB
위치,LOC,LOCATION
위험,DNG,DANGER
위험도,RISK,RISK
윈도우,WIN,WIN
유닉스,UNIX,UNIX
유사도,LIKE,LIKENESS
유지보수,MAINTEN,MAINTENANCE
유형,PATN,PATTERN
응답,REP,RESPONSE
의견,OPINION,OPINION
이력,HIS,HISTORY
이메일,EMAIL,E-MAIL
이미지,IMG,IMAGE
이벤트,EVENT,EVENT
이전,PREV,PREVIOUS
익명,ANONYMITY,ANONYMITY
인사,INSA,INSA
인수,TOVER,TAKE OVER
인수자,ACCEPTOR,ACCEPTOR
인스턴스,INSTS,INSTANCE
인증,CRT,CERTIFICATION
인프라,IFR,INFRA
일,DATE,DATE
일괄,COLTLY,COLLECTIVELY
일련번호,SN,SERIAL NUMBER
일반,NRML,NORMAL
일별,DAILY,DAILY
일본어,JP,JAPANESE
일수,DAYS,DAYS
일시,DT,DATETIME
일시분,DTM,DATETIME
일자,DAY,the number of days
일정,SCHEDU,SCHEDULE
임의,ARBIT,ARBITRARY
입력,IN,INPUT
자동,AUTO,AUTOMATION
자산,ASSET,ASSETS
자원,RES,RESOURCE
작업,WORK,WORK
작업공간,WORKSP,WORKSPACE
작업자,WORKER,WORKER
잠금,LOCKOUT,LOCKOUT
잠재,VEIL,VEIL
재활성,REACTIVE,REACTIVE
저장,SAVE,SAVE
적용,APLYTO,APPLY TO
전,BEF,BEFORE
전문,FLTEXT,FULL TEXT
전체,FULL,FULL
전파,SPREAD,SPREAD
전화,TEL,TELPHONE
점검,CHK,CHECK
점검자,CHECKER,CHECKER
점수,POINT,POINT
접근,ACCES,ACCESS
접속,CONN,CONNECT
정보,INFO,INFOMATION
정의,DEFN,DEFINE
정책,POL,POLICY
정확도,ACCU,ACCURACY
제목,TITL,TITLE
제어,CTRL,CONTROL
생산,MAKR,MAKER
제품,PROD,PRODUCT
제한,LIMIT,LIMIT
조건,CODT,CONDITION
조직,ORG,ORGANIZATION
조치,MESUR,MEASURE
조회,QRY,INQUIRY
종료,END,END
종류,KIND,KIND
주기,CYC,CYCLE
주별,WEEK,WEEKLY
주소,ADDR,ADDRESS
주요,MAJOR,MAJOR
주의,CAUT,CAUTION
주체자,PRMTR,PROMOTER
중국어,ZH,CHINESE
중복,DUP,DUPLICATION
중분류,MCATE,MIDDLE CATEGORY
증가,INCRS,INCREASE
직급,JRNK,JOB RANKING
직무,JDUT,JOB DUTY
직업,JOB,JOB
직위,JPOS,JOB POSITION
직책,JIKCHK,직책
진행,PROCD,PROCEED
집계,SUMM,SUMMARY
집행자,EXCUTOR,EXECUTOR
차단,CUT,CUTOFF
참가,ENT,ENTRY
참조,REF,REFERENCE
처리,PROC,PROCESS
처리자,PROCOR,PROCESSOR
첨부,ATTCH,ATTACHMENT
체계,SYS,SYSTEM
초기,INIT,INITIAL
총,TOTAL,TOTAL
최근,RCNT,RECENT
최대,MAX,MAXIMUM
최소,MIN,MINIMUM
최신,NEWEST,NEWEST
최종,LAST,LAST
추가,ADD,ADD
출력,PRNT,PRINT
출처,SOUR,SOURCE
취약,VUL,VULNERABILITY
취약점,VUL,VULNERABILITY
카드,CARD,CARD
컴포넌트,COMPN,COMPONENT
코드,CD,CODE
코드셋,CDSET,CODESET
크기,SIZE,SIZE
클라이언트,CLIENT,CLIENT
클래스,CLAS,CLASS
키,KEY,KEY
키워드,KEYWORD,KEYWORD
탈퇴,SCSSN,SCSSN
탐지,DETEC,DETECTION
태그,TAG,TAG
태스크,TASK,TASK
터미널,TERM,TERMINAL
테이블,TBL,TABLE
템플릿,TMP,TEMPLET
통보,DSPTH,DISPATCH
통신,CMUN,COMMUNICATION
트래픽,TRAFC,TRAFFIC
트랜잭션,TRANS,TRANSACTION
트리,TREE,TREE
특권,PRIVILG,PRIVILEGE
특별,SPECL,SPECIAL
특수문자,SCHA,Special Character
특징,SPEC,SPECIFICATION
파라메터,PARAM,PARAMETER
파일,FILE,FILE
패스워드,PWD,PASSWORD
패치,PATCH,PATCH
페이지,PAGE,PAGE
평가,EVAL,EVALUATION
포트,PORT,PORT
표시,VIEW,VIEW
표적,TARGT,TARGET
표출,EXPR,EXPRESSED
프로세서,CPU,PROCESSOR
프로젝트,PJT,PROJECT
프로토콜,PROTOCOL,PROTOCOL
프로파일,PROFILE,PROFILE
플랫폼,PLATFM,PLATFORM
필수,ESSE,ESSENTIAL
필터,FLTR,FILTER
하드웨어,HW,HARDWARE
하위,DN,DN
함수,FUNT,FUNCTION
항목,ITEM,ITEM
해쉬,HASH,HASH
허용,ALOW,ALLOW
현업,WORK,WORK
현재,CURR,CURRENT
현황,STATE,STATE
형식,FOM,FORM
호스트,HOST,HOST
호출,CALL,CALL
홈,HOME,HOME
화면,SCREN,SCREEN
확인,CONFM,CONFIRM
확장,EXT,EXTEND
환경,ENV,ENVIRONMENT
활동,ACTIV,ACTIVITY
활동자,ACTIVIST,ACTIVIST
활성,ACTIVE,ACTIVE
회사,COMPANY,COMPANY
후,AFT,AFTER
희망,HOP,HOPE
중요,CRITICAL,CRITICAL
,AFT,AFTER
희망,HOP,HOPE
